d1,d2,label
4.089522215,-3.930157749,3
3.123855601,3.406146483,0
0.920123648,-5.737975352,4
3.433703414,4.184841632,0
4.256233117,-3.779260466,3
3.323458323,3.52766844,0
4.437153073,-4.011335478,3
8.029587285,-6.497350319,1
3.646276237,4.260380847,0
4.487312521,-3.423234909,3
7.541821282,-6.177390404,1
7.742351791,-5.872754068,1
3.369314045,3.285142454,0
8.491616466,-7.153954907,1
8.351292287,-6.343003988,1
1.097880129,7.910296028,2
4.096836402,-4.005506001,3
0.605622901,7.936199133,2
3.658502409,-3.564702817,3
0.508232266,7.7141489,2
0.966594928,7.869188624,2
3.088579405,3.877433937,0
1.144610752,7.831947375,2
8.192145667,-7.823355584,1
1.137759826,8.616454874,2
4.94493008,-3.632093982,3
0.138845331,-6.663522281,4
8.481697575,-6.843129707,1
4.986577256,-4.021073334,3
0.239614535,-5.881043867,4
1.046933469,8.174900195,2
0.436088373,-5.896794641,4
-0.437827079,-5.573493275,4
3.760667625,4.287178352,0
1.173548419,7.88457189,2
4.39332654,3.571076133,0
4.317790929,-3.511506291,3
0.071693103,-4.807730331,4
1.254306443,8.05512942,2
4.910362707,-3.603299354,3
1.25223785,8.216421725,2
1.334936264,8.030009735,2
4.683255023,-3.876667785,3
3.657038609,-4.073911938,3
4.834938575,-4.287023854,3
3.484533111,-4.08284045,3
3.557280529,3.950732717,0
8.068932587,-6.708298427,1
8.000898899,-7.087362904,1
8.183797572,-7.301440065,1
0.263883854,-6.110860486,4
8.542283653,-6.62221363,1
0.530842749,7.331272027,2
8.296180168,-6.831226859,1
-0.368160292,-5.950540745,4
-0.3311962,-6.059542849,4
3.422251873,3.827862079,0
4.592822346,-3.601696828,3
4.952933355,-4.140569462,3
2.97576034,4.350341888,0
8.332266183,-6.295109888,1
7.935397414,-6.523460323,1
3.320820538,4.208938008,0
8.219024993,-7.333685153,1
1.572321552,-6.865608884,4
3.152267683,4.068006817,0
0.251854262,7.831154907,2
4.807734507,-4.787134389,3
5.091568097,-3.416252977,3
-0.002752409,-6.156741458,4
3.627826888,4.004708178,0
7.753883254,-7.405938515,1
4.459927622,-3.627238038,3
4.291541084,-2.779401545,3
1.201041408,8.109929368,2
0.529257198,-6.293684918,4
8.829234943,-6.125302767,1
8.089706107,-6.978674596,1
4.348325505,-3.995044976,3
2.970161847,4.133421059,0
3.496814715,3.199011229,0
5.098676226,-4.69890962,3
3.380605035,3.380134063,0
8.598696354,-6.485314619,1
0.841062796,8.194155495,2
0.017300704,7.529065131,2
8.247117737,-6.502830668,1
4.381954598,-3.339597614,3
4.459089376,-3.120765395,3
3.373642676,3.505407372,0
0.360355792,-5.720368855,4
0.810602174,8.428830435,2
0.485438717,-6.281856061,4
3.024496333,4.02234523,0
8.226518351,-6.773371672,1
7.879596519,-6.6773662,1
0.33188721,-5.846224867,4
0.835940484,7.65842043,2
0.244665287,-5.955487856,4
4.15785046,-3.959091688,3
-0.091044448,-6.248715734,4
4.557101798,-4.529944577,3
4.307744506,-4.29765899,3
7.384792,-7.212229539,1
3.52759613,4.622717175,0
3.87495856,-3.420318627,3
4.524202175,-4.687675139,3
1.202822811,7.018586001,2
3.899105507,-4.425638311,3
-0.044900589,-5.887296758,4
1.012977559,7.671949366,2
4.339422835,-3.659080575,3
-0.137742329,-5.903784571,4
4.767505568,-4.388141898,3
0.203846777,-6.44552059,4
0.8236693,7.555157211,2
3.679376005,3.922601777,0
5.126304934,-3.853526126,3
3.696864218,3.567192558,0
4.560419125,-4.275493953,3
3.332609368,3.733044719,0
8.096492942,-6.937306065,1
8.173619506,-7.266573486,1
8.195676525,-6.563932933,1
0.561269889,-6.752327244,4
5.545403342,-4.061552228,3
0.135691976,-6.01857689,4
0.919986964,-6.737276409,4
0.365537926,7.371432934,2
1.24234226,8.099668746,2
8.206844028,-6.899284173,1
4.714039185,-3.966338099,3
3.29730615,3.389283247,0
8.202203309,-6.802806125,1
3.85855453,4.014525479,0
1.301719487,7.679873655,2
4.546170909,-4.522798454,3
-0.123612436,-5.998748572,4
-0.041750327,-6.41681136,4
8.046045839,-6.737433079,1
3.608542596,4.407364662,0
0.774287538,-6.310191214,4
4.263492622,4.169231134,0
3.450647756,4.012822787,0
1.426692084,7.680208337,2
8.276799312,-6.722435455,1
4.419498613,-4.065555108,3
1.472978915,7.532948723,2
8.52905456,-7.035046005,1
1.374153527,7.586164433,2
1.401896683,7.593437585,2
1.511426918,7.220221332,2
4.27740514,-4.225030979,3
0.529575569,-6.165343608,4
4.261258822,3.306595801,0
7.444046809,-6.892698124,1
4.138164326,3.816841109,0
8.187415091,-6.711679467,1
3.067775648,4.627098653,0
0.837133056,-6.021860362,4
8.864389176,-6.722665264,1
3.29056246,2.766607152,0
0.664682431,-6.012565534,4
0.326491884,-6.328681287,4
4.09504136,4.293494612,0
4.438904235,-4.039410591,3
-0.617376044,-5.39201061,4
5.392685337,-3.456452415,3
8.050004961,-6.227419816,1
0.580366392,7.752766149,2
7.937965065,-6.824675492,1
3.887856074,-4.041311827,3
-0.098570282,-5.394066125,4
3.44404219,3.576305338,0
3.195307502,4.037495026,0
4.0195114,4.209747142,0
8.080970955,-7.327973952,1
1.040828273,7.750326946,2
2.891169011,3.821216192,0
8.185231629,-6.848446643,1
8.044220476,-6.435128207,1
7.627155221,-6.851889675,1
0.871338053,7.471183741,2
4.197602804,3.833214492,0
-0.050470572,-5.782067104,4
7.925688709,-6.729497956,1
5.250658707,-3.593690673,3
3.370737662,3.382388501,0
4.810913063,-4.041923686,3
8.971500259,-6.597765618,1
0.604998862,-5.977186411,4
4.210525261,-3.37778527,3
4.173456934,4.04200606,0
7.887357362,-6.686962087,1
7.906607965,-7.052305965,1
-0.047042936,-6.135366656,4
3.594283635,3.970248537,0
7.657428903,-7.094253325,1
8.421134486,-7.697000748,1
0.742191747,-6.056388442,4
7.925575839,-6.830409548,1
4.979691174,-4.613024467,3
3.228488803,4.003641788,0
3.463828719,3.824265443,0
8.859464047,-6.914261515,1
3.465801591,3.64553537,0
8.280374826,-6.732769724,1
4.552673442,-3.808258484,3
0.535642027,-5.845041124,4
-0.182179418,-5.596384628,4
4.074886079,-4.453588854,3
0.440818812,-6.408298445,4
7.905943179,-6.887498398,1
7.574336268,-7.64590292,1
0.117957342,7.490539228,2
3.711864948,3.902427191,0
1.182258548,8.045537014,2
4.778127521,-3.163267268,3
